x,y,z
610728.39415,268054.626617,-13431.539063
610754.606438,268052.299543,-13434.606445
610780.771467,268050.128939,-13437.001953
610806.981754,268047.904609,-13439.42334
610833.139013,268045.852931,-13441.380859
610859.337298,268043.761679,-13443.149902
610885.468645,268041.860248,-13444.388184
610911.63279,268039.940214,-13445.306152
610937.716097,268038.229187,-13445.5625
610964.234222,268011.557723,-13448.433594
610964.234222,268011.557723,-13448.433594
611016.267721,268008.589567,-13446.088867
611016.267721,268008.589567,-13446.088867
611068.134328,268006.13155,-13441.425781
611068.134328,268006.13155,-13441.425781
611119.928428,268003.96014,-13436.382813
611119.928428,268003.96014,-13436.382813
611171.612689,268002.103091,-13430.642578
609322.357314,268136.010687,-13176.674805
609372.766356,268137.767611,-13178.060547
609397.925487,268138.589212,-13178.793945
609423.084618,268139.410813,-13179.527344
609448.217833,268140.155751,-13180.467773
609473.351047,268140.900689,-13181.408203
609498.45657,268141.589335,-13182.507324
609523.562093,268142.27798,-13183.606445
609548.648517,268142.906327,-13184.859863
609573.734942,268143.534674,-13186.113281
609598.804109,268144.09852,-13187.530273
609623.873275,268144.662365,-13188.947266
609648.940025,268145.116135,-13190.491211
609674.006774,268145.569904,-13192.035156
609699.077713,268145.883861,-13193.684082
609724.148652,268146.197818,-13195.333008
609749.232401,268146.348177,-13197.097656
609774.31615,268146.498537,-13198.862305
609799.425314,268146.460124,-13200.862793
609824.534479,268146.421711,-13202.863281
609849.686808,268146.158281,-13205.316895
609874.839137,268145.894851,-13207.770508
609900.056047,268145.371792,-13211.006836
609925.272956,268144.848732,-13214.243164
609950.565889,268144.053745,-13218.542969
609975.858823,268143.258758,-13222.842773
610001.259494,268142.147709,-13228.495605
610026.660165,268141.036661,-13234.148438
610052.174304,268139.621743,-13241.172852
610077.688443,268138.206824,-13248.197266
610103.318601,268136.505562,-13256.480957
610128.948759,268134.804299,-13264.764648
